n,method,time_s,residual,iters,converged,cond,error,repeat
3,numpy_solve,2.3708000298938714e-05,1.5838319836915702e-16,,,1.718907032328188,,0
3,inverse,9.70900055108359e-06,1.2738115944464653e-16,,,1.718907032328188,,0
3,lu,0.00026037499992526136,1.5838319836915702e-16,,,1.718907032328188,,0
3,gaussian_elimination,0.000270417000137968,1.1295700899707568e-16,,,1.718907032328188,,0
3,gauss_seidel,0.00040416699994239025,6.349850257666213e-12,14.0,True,1.718907032328188,,0
10,numpy_solve,1.1665999409160577e-05,4.0107767153625477e-16,,,3.2325441288366505,,0
10,inverse,8.459000127913896e-06,4.2931514727279127e-16,,,3.2325441288366505,,0
10,lu,2.2791999981564004e-05,3.6215442729969596e-16,,,3.2325441288366505,,0
10,gaussian_elimination,0.0002430829999866546,2.797157557069881e-16,,,3.2325441288366505,,0
10,gauss_seidel,0.0010881250000238651,4.3870301974912115e-11,14.0,True,3.2325441288366505,,0
100,numpy_solve,9.43750001169974e-05,5.582929198918113e-15,,,1.6198738174379133,,0
100,inverse,0.0001172499996755505,5.319153705588009e-15,,,1.6198738174379133,,0
100,lu,6.937499983905582e-05,5.911088651140207e-15,,,1.6198738174379133,,0
100,gaussian_elimination,0.0078916249995018,4.5850814042017655e-15,,,1.6198738174379133,,0
100,gauss_seidel,0.007146750000174507,7.420182642480138e-11,9.0,True,1.6198738174379133,,0
3,numpy_solve,8.79199978953693e-06,1.1102230246251565e-16,,,3.642969144271042,,1
3,inverse,8.625000191386789e-06,1.3597399555105182e-16,,,3.642969144271042,,1
3,lu,2.3583000256621744e-05,1.1102230246251565e-16,,,3.642969144271042,,1
3,gaussian_elimination,5.454100028146058e-05,1.2412670766236366e-16,,,3.642969144271042,,1
3,gauss_seidel,0.00039479200040659634,5.0962389775457584e-11,16.0,True,3.642969144271042,,1
10,numpy_solve,1.0167000255023595e-05,5.3533015581491455e-16,,,2.648683998141241,,1
10,inverse,6.083000698708929e-06,5.147892387644517e-16,,,2.648683998141241,,1
10,lu,1.716699989628978e-05,6.497413668604471e-16,,,2.648683998141241,,1
10,gaussian_elimination,0.000202707999960694,4.335559509131367e-16,,,2.648683998141241,,1
10,gauss_seidel,0.0009056669996425626,8.207188216880228e-11,12.0,True,2.648683998141241,,1
100,numpy_solve,6.899999971210491e-05,5.120757394137332e-15,,,1.651532226510912,,1
100,inverse,0.00011479200020403368,5.9971959883588416e-15,,,1.651532226510912,,1
100,lu,6.837499950052006e-05,5.297537639303419e-15,,,1.651532226510912,,1
100,gaussian_elimination,0.00750049999987823,5.7597649941007335e-15,,,1.651532226510912,,1
100,gauss_seidel,0.007095416999618465,1.040470632603346e-10,9.0,True,1.651532226510912,,1
3,numpy_solve,1.037499987432966e-05,5.637851296924623e-17,,,4.676097859089464,,2
3,inverse,5.541000064113177e-06,3.5612250582388643e-16,,,4.676097859089464,,2
3,lu,2.1458000446727965e-05,5.637851296924623e-17,,,4.676097859089464,,2
3,gaussian_elimination,5.274999966786709e-05,2.862293735361732e-17,,,4.676097859089464,,2
3,gauss_seidel,0.0004862080004386371,3.7829440228581417e-11,20.0,True,4.676097859089464,,2
10,numpy_solve,1.0333000318496488e-05,7.791361360319881e-16,,,2.4073461356837216,,2
10,inverse,6.207999831531197e-06,7.468261590855957e-16,,,2.4073461356837216,,2
10,lu,1.5999999959603883e-05,3.188872858294072e-16,,,2.4073461356837216,,2
10,gaussian_elimination,0.0002012919994740514,6.473657049138938e-16,,,2.4073461356837216,,2
10,gauss_seidel,0.0009086660002139979,6.367187999206332e-11,12.0,True,2.4073461356837216,,2
100,numpy_solve,6.420899990189355e-05,5.920912111350411e-15,,,1.661582086631999,,2
100,inverse,0.00010358400049881311,5.384883728626821e-15,,,1.661582086631999,,2
100,lu,6.662500072707189e-05,5.434733613688489e-15,,,1.661582086631999,,2
100,gaussian_elimination,0.007468792000508984,6.719055198576837e-15,,,1.661582086631999,,2
100,gauss_seidel,0.007323791000089841,7.564090859448343e-11,9.0,True,1.661582086631999,,2
